Report Written:,"Friday, January 22, 2021",,,,,,,,
Project Path:,C:\Users\GIT\RGB_Industrial_Display_PCB\RGB_Industrial_Display_PCB.prj,,,,,,,,
Design Path:,C:\Users\GIT\RGB_Industrial_Display_PCB\RGB_Industrial_Display_PCB.pcb,,,,,,,,
Design Title:,,,,,,,,,
Created:,13/12/2020 20:19,,,,,,,,
Last Saved:,22/01/2021 16:46,,,,,,,,
Editing Time:,6859 min,,,,,,,,
Units:,mm (precision 2),,,,,,,,
,,,,,,,,,
Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,,,,,
--------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,RS Part Number,Other Part Number,Description
R7,1,R 0.1W SMTF 100,,SM0805,,,866-7279,,Thick Film Surface Mount Resistor
R8,1,R 0.1W SMTF 100,,SM0805,,,866-7279,,Thick Film Surface Mount Resistor
F1,1,RKEF075,,RKEF075,LITTELFUSE,RKEF075,712-7480,,"Littelfuse 0.75A Radial Leaded PCB Mount Resettable Fuse, 60V"
L1,1,RLF12560T-100M7R5-PF,,INDPM125128X600N,TDK,RLF12560T-100M7R5-PF,741-3267,,TDK RLF12560 Series Shielded Wire-wound SMD Inductor 10 uH +/-20% 7.8A Idc
D1,1,SBRD10200TR,,SMC_DPAK,SMC Diode Solutions,SBRD10200TR,180-7316,,SCHOTTKY RECTIFIER
D4,1,SMBJ6.5CA-Q,,DIONM5436X244N,Bourns,SMBJ6.5CA-Q,699-8085,,"SMBJ-Q Transient Voltage Suppressor Diode Series, Bi-Directional"
D5,1,SMBJ36CA,,DIONM5336X245N,ON Semiconductor,SMBJ36CA,802-2332,,"Diode, Fairchild, SMBJ36CA Fairchild SMBJ36CA, Bi-Directional TVS Diode, 600W, 2-Pin DO-214AA"
C6,1,TCJA106M016R0200,,CAPPM3216X180N,AVX,TCJA106M016R0200,144-2523,,AVX Electrolytic Capacitor 10F 16V dc Polymer Solid +/-20% Tolerance TCJ Series
C13,1,TCJA106M016R0200,,CAPPM3216X180N,AVX,TCJA106M016R0200,144-1494,,AVX Electrolytic Capacitor 10F 16V dc Polymer Solid +/-20% Tolerance TCJ Series
C18,1,TCJA106M016R0200,,CAPPM3216X180N,AVX,TCJA106M016R0200,144-1494,,AVX Electrolytic Capacitor 10F 16V dc Polymer Solid +/-20% Tolerance TCJ Series
RST,1,TL1105CF160Q,,TL1105CF160Q,E-Switch,TL1105CF160Q,479-1413,,Tactile Switches 6X6X8MM 160GF
IC1,1,TPS5450DDAR,,SOIC127P600X170-9N,Texas Instruments,TPS5450DDAR,8256848P,,"Texas Instruments, TPS5450DDAR Step-Down Switching Regulator 5A Adjustable, 1.22  31 V, 8-Pin SOIC"
